"label	comment"
"0	都说人应该做真实的自己，之前点评确实很虚伪，觉得不算特别差就给好评，比如没有吃到蟑螂，没有吃到钢丝球或者头发，或者食物没有异味，都会给好评，但是后来彻底觉悟了，给好评是让有问题的商家永远不会意识到自己的错误，他们总是说着冠冕堂皇没有改变的决心期待的背后也是期望多高失望更高，在外工作迫于无奈点外卖吃，然而进进出出那么多餐饮店，没有一次发自内心感觉很好的餐饮店，一次又一次被这些做餐饮的人唬弄，各种各样的事都有，有多少餐饮店连最基本的食品卫生都做不到，却依然正常运营，依然挂着一个卫生许可证，也许吧，永远无法"
"0	两个小时送到。。。。。"
"0	我也是第一回吃到这种口味的#核桃肉#，难吃"
"1	银耳汤都变味了 馊了都……"
"0	生意很好，也在不同的地方吃过好几次这个烤鸭了，不错"
"0	菜品还行，味道不错，值得推荐！"
"0	第一次吃绝的可以，才买的，结果都烤胡了，全都是只有胡味"
"0	中午12.30来的，人不是很多。菜品都是差不多的，店里干净卫生，茶很好喝！我喝了好多杯呢！饭也好吃，我吃了三碗，哈哈哈，两个人好饱饱的，虽然中间拉了肚子，不过吃火锅串串香这些拉肚子是很正常的，我还是喜欢吃，嘻嘻嘻，老板服务态度很好，现在评论发朋友圈免费送加多宝一罐呢！！地址就在佩姐老火锅旁边的！"
"0	好吃！！！老板态度很好！分量超级足 三到四个人都是够的！！味道超级好"
"0	牛肉的品质非常好。"
"0	性价比不高，有点小贵 #T骨牛排# #肉眼牛扒#"
"1	毛血旺没得一点点味道。恼火。只有辣味 纯辣 一点盐都没得。干锅鱿鱼须 不仅小还有腥味 鸡杂也是。份量少。豆芽一大把 黑死人 还不新鲜 再也不会来他们家"
"0	毛血旺，没有血旺，瘦肉是假肉，全是鸡肉，一次不满意的外卖"
"0	服务周到，菜品分量还是很足，味道也不错！"
"0	坏境好，味道好，分量多！下次还会来的！"
"1	店家一点也不厚道，在你家买了多少次小龙虾啦，居然这次买的好多都是臭的，做店家要做良心店家，不能这样做生意，以后不会再光顾啦。"
"0	好！值得推荐。下次再来。请客可以去。"
"0	味道霸道，第一次带家人去吃的虾，非常满意；没过几天，又带同学去，点了肥肠、牛筋，其中肥肠又耙又糯，里面弄得干净，两个字：好吃！三个字：很好吃！"
"1	这他妈里面居然还有蟑螂！！"
"0	价格便宜，分量很足，味道好，吃完还意犹未尽的。以前不知道有团购，也来吃过，这次团购分量也没有减少。是我吃饭地点的首选了。"
"0	咖啡变成可乐了，差价呢"
"1	我不知道应该说什么，还没吃到一半就吃不下去了，希望能有个解释吧"
"1	味道一般，最可恶的是虎皮青椒里面有两只虫，恶心死人了，清洁也太差了吧，还这么贵，差评，大家不要再点他们家东西了。卫生太差，还能吃到虫"
"0	位置虽然不太好找，但店家很热情，服务也很周道，味道的确不错，真的很好吃"
"0	酸菜肉丝米线挺不错的，而且老板的服务很好，很亲切。可惜其他的口味的团购很少，下次可以体验一下店里的其他米线。还有。汤很好喝哦。"
"0	超级好喝  能喝两杯"
"0	上菜慢了点，服务不错，菜量很足，以后还会去，"
"0	挺好的，来了几次了"
"0	经常来吃了很好吃"
"0	一如既往的好吃 以后还会去吃 最好是现炸现吃"
"0	服务态度很好，火锅味道超级棒，又辣，好吃"
"1	鱿鱼确定是新鲜的“大”鱿鱼吗，全是腥味和臭味，鸡排黑漆漆的味道也不好感觉像是卖不掉的从新炸了一边。"
"0	味道很巴适。交通很方便。老板很热情！同学推荐来的，提前一天做了预定，老板赠送了饮料，家人很满意！羊肉外酥里嫩，入味！团的最便宜的一种，八个成年人足够吃了，蔬菜无限量配送，碗豆尖，波菜很爽。喜欢吃面食的人面块管饱！"
"0	位置很好，就是太辣了南方孩子有点受不了"
"1	那些说好吃的都是托吧！这是我喊外卖最失败的一次，分量少得可怜不说，而且超级难吃，还慢得要死，第一次给差评！谢谢你给我这个机会……"
"0	一如既往的好，很好喝，可以当代餐^_^"
"0	摩摩红章猪猪宝贝"
"1	吃到最后吃出来一个蟑螂，真的恶心死了，我以人格保证没有抹黑店家的意思，之前也经常下单来吃，但是这一次真的太失望了！！！"
"0	大家以后别在这家定了，明知道重庆人吃辣椒，炒粉就不给我放辣椒，凉拌供嘴就给我放辣椒！故意整我是不是？味道难吃死了"
"0	没图辣，但是真的很不错诶嘿嘿233"
"0	特别好吃，也很好找，酸奶牛君特别好喝，服务也超级好哦"
"0	中间面包有水果的，那个骰子和麻将都是白巧克力，赌神也是巧克力，连蜡烛都看着不错，不是很廉价的那种哟，店家姐姐很好，送到轻轨里面的。蛋糕不错，4个人根本吃不完。麻将蛋糕还是很新颖的，很喜欢，下次再来个小车蛋糕可不可以便宜点啊"
